date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:49:56	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2023%20Nov%202023%2014:49:31%20GMT	https://www.half-life.com/*	C:/DownloadedSites/HL/www.half-life.com/_.0.delayed	(from )
03:49:56	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2023%20Nov%202023%2014:49:31%20GMT	https://www.half-life.com/en/*	C:/DownloadedSites/HL/www.half-life.com/en/_	(from )
03:49:57	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2023%20Nov%202023%2014:49:30%20GMT	https://www.half-life.com/en/	C:/DownloadedSites/HL/www.half-life.com/en/index.html	(from )
03:49:57	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2023%20Nov%202023%2014:49:32%20GMT	https://www.half-life.com/robots.txt		(from )
03:49:58	13010/13010	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Nov%202023%2014:49:30%20GMT	https://www.half-life.com/en/home/	C:/DownloadedSites/HL/www.half-life.com/en/home/index.html	(from https://www.half-life.com/en/)
03:49:58	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Thu,%2023%20Nov%202023%2014:49:33%20GMT	https://www.half-life.com/	C:/DownloadedSites/HL/www.half-life.com/index.html	(from )
03:49:58	1393/1393	---M--	200	added ('OK')	image/png	date:Tue,%2005%20Jul%202022%2019:14:05%20GMT	https://www.half-life.com/apple-touch-icon.png	C:/DownloadedSites/HL/www.half-life.com/apple-touch-icon.png	(from https://www.half-life.com/en/home/)
03:49:59	575/575	---M--	200	added ('OK')	image/png	etag:%2262c48d7b-23f%22	https://cdn.akamai.steamstatic.com/half-life.com/images/favicon-32x32.png	C:/DownloadedSites/HL/cdn.akamai.steamstatic.com/half-life.com/images/favicon-32x32.png	(from https://www.half-life.com/en/home/)
03:49:59	462/462	---M--	200	added ('OK')	image/png	etag:%2262c48d7b-1ce%22	https://cdn.akamai.steamstatic.com/half-life.com/images/favicon-16x16.png	C:/DownloadedSites/HL/cdn.akamai.steamstatic.com/half-life.com/images/favicon-16x16.png	(from https://www.half-life.com/en/home/)
03:49:59	505/505	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2005%20Jul%202022%2019:14:04%20GMT	https://www.half-life.com/safari-pinned-tab.svg	C:/DownloadedSites/HL/www.half-life.com/safari-pinned-tab.svg	(from https://www.half-life.com/en/home/)
03:49:59	15086/15086	---M--	200	added ('OK')	image/x-icon	date:Tue,%2005%20Jul%202022%2019:14:03%20GMT	https://www.half-life.com/favicon.ico	C:/DownloadedSites/HL/www.half-life.com/favicon.ico	(from https://www.half-life.com/en/home/)
03:50:00	24186/24186	---M-Z	200	added ('OK')	text/css	etag:%22y8m3V1SJ9H0Q%22	https://www.half-life.com/public/css/global.css?v=y8m3V1SJ9H0Q	C:/DownloadedSites/HL/www.half-life.com/public/css/globaldf06.css	(from https://www.half-life.com/en/home/)
03:50:00	1629/1629	---M-Z	200	added ('OK')	text/css	etag:%22Mjul9c3Wo_h6%22	https://www.half-life.com/public/css/fonts.css?v=Mjul9c3Wo_h6	C:/DownloadedSites/HL/www.half-life.com/public/css/fonts7a4c.css	(from https://www.half-life.com/en/home/)
03:50:00	19387/19387	---M-Z	200	added ('OK')	text/css	etag:%229P_eGUSlVyLP%22	https://www.half-life.com/public/css/alyx.css?v=9P_eGUSlVyLP	C:/DownloadedSites/HL/www.half-life.com/public/css/alyx847f.css	(from https://www.half-life.com/en/home/)
03:50:00	1820/1820	---M-Z	200	added ('OK')	text/css	etag:%22q3IzwYVw365_%22	https://www.half-life.com/public/css/home.css?v=q3IzwYVw365_	C:/DownloadedSites/HL/www.half-life.com/public/css/homef1e7.css	(from https://www.half-life.com/en/home/)
03:50:00	88147/88147	---M-Z	200	added ('OK')	text/javascript	etag:%22.x_lL7EoBT7pT%22	https://www.half-life.com/en/public/javascript/jquery-3.4.1.min.js?v=.x_lL7EoBT7pT	C:/DownloadedSites/HL/www.half-life.com/en/public/javascript/jquery-3.4.1.min3b3b.js	(from https://www.half-life.com/en/home/)
03:50:01	327/327	---M-Z	200	added ('OK')	text/javascript	etag:%22.SL0-s381rLPX%22	https://www.half-life.com/en/public/javascript/halflifecom.js?v=.SL0-s381rLPX	C:/DownloadedSites/HL/www.half-life.com/en/public/javascript/halflifecom6bc7.js	(from https://www.half-life.com/en/home/)
03:50:02	850/850	---MC-	200	added ('OK')	text/javascript	date:Thu,%2023%20Nov%202023%2014:49:37%20GMT	https://www.google.com/recaptcha/api.js	C:/DownloadedSites/HL/www.google.com/recaptcha/api.js	(from https://www.half-life.com/en/home/)
03:50:02	13010/13010	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Nov%202023%2014:49:30%20GMT	https://www.half-life.com/en/home	C:/DownloadedSites/HL/www.half-life.com/en/home.html	(from https://www.half-life.com/en/home/)
03:50:03	14591/14591	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Nov%202023%2014:49:30%20GMT	https://www.half-life.com/en/halflife	C:/DownloadedSites/HL/www.half-life.com/en/halflife.html	(from https://www.half-life.com/en/home/)
03:50:03	15075/15075	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Nov%202023%2014:49:30%20GMT	https://www.half-life.com/en/halflife2	C:/DownloadedSites/HL/www.half-life.com/en/halflife2.html	(from https://www.half-life.com/en/home/)
03:50:03	14624/14624	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Nov%202023%2014:49:30%20GMT	https://www.half-life.com/en/episode1	C:/DownloadedSites/HL/www.half-life.com/en/episode1.html	(from https://www.half-life.com/en/home/)
03:50:04	14710/14710	---M-Z	200	added ('OK')	text/html	date:Thu,%2023%20Nov%202023%2014:49:30%20GMT	https://www.half-life.com/en/episode2	C:/DownloadedSites/HL/www.half-life.com/en/episode2.html	(from https://www.half-life.com/en/home/)
